STYLE1,SQFT,STYLE2,BLDG_ID,sectorid,state_clas,center_x,center_y
,40980.7655173,,1222,1,X1,-95.35561327903115,29.764184439356107
,64079.5842586,,1226,1,X1,-95.35766539806667,29.76473772818229
UNDER 5000SF,2966.47268735,COMMERCIAL,1248,1,F1,-95.3506800925375,29.76930536338176
,96967.1832364,COMMERCIAL,1251,1,X1,-95.35279320129366,29.76780208242205
,74702.27515240002,,1252,1,X1,-95.35654369861075,29.76444103074744
,18537.8790715,,1275,1,X1,-95.35292250000002,29.76688250000001
UNDER 5000SF,4427.08266627,,1277,1,A1,-95.35449949999999,29.767541499999997
,40722.69345050001,,1278,1,X1,-95.35598832509035,29.766047999154168
,150751.628598,COMMERCIAL,1301,1,F1,-95.35068091984687,29.7679472148732
UNDER 5000SF,4748.77419341,,1303,1,J3,-95.35307521634026,29.762959021963294
UNDER 5000SF,1467.86928635,,1328,1,A1,-95.35258499999999,29.768713499999997
,48127.2092941,COMMERCIAL,1330,1,F1,-95.35571294381303,29.767002849255213
,530311.927197,,152,2,X1,-95.35527417945978,29.75719032254266
UNDER 5000SF,2134.41016412,COMMERCIAL,306,2,F1,-95.355948,29.760724
UNDER 5000SF,2782.97189892,,307,2,X1,-95.35649149999999,29.759903999999995
UNDER 5000SF,3627.83551433,COMMERCIAL,326,2,F1,-95.35712849999997,29.75921
,55855.9679984,,337,2,X1,-95.35657051891876,29.76031773404093
,30034.162534,MULTIFAMILY,431,2,B1,-95.35293649508831,29.760403099616802
UNDER 5000SF,2317.56089996,COMMERCIAL,528,2,F1,-95.3519335,29.760134499999996
,13261.4759265,MULTIFAMILY,578,2,B1,-95.35247530089731,29.760288626206115
UNDER 5000SF,2183.35277915,COMMERCIAL,598,2,F1,-95.35202535193798,29.760084024806204
,36351.0981196,,697,2,X2,-95.35132287350945,29.760718397956634
,16053.9078407,COMMERCIAL,878,2,F1,-95.35289195899884,29.761341859107613
,7258.11556786,,909,2,X2,-95.35740486314225,29.758912149322946
UNDER 5000SF,404.929693573,,932,2,X2,-95.35077,29.7616205
UNDER 5000SF,2553.61393159,MULTIFAMILY,933,2,B1,-95.35462135152254,29.759970525174925
UNDER 5000SF,3555.69197741,COMMERCIAL,977,2,F1,-95.35331383218391,29.761399496957406
,9866.5425034,COMMERCIAL,981,2,X2,-95.35711207039458,29.759807468407033
,6744.86214822,,1010,2,X1,-95.3558455,29.758182999999995
,13654.682207,COMMERCIAL,1031,2,X1,-95.35424438054575,29.761270446653484
UNDER 5000SF,2593.90622359,COMMERCIAL,1078,2,F1,-95.35526759099096,29.75926368848849
,8629.59546557,COMMERCIAL,1133,2,F1,-95.35280959755191,29.758199308096746
UNDER 5000SF,973.162031829,COMMERCIAL,1250,2,F1,-95.35185561526148,29.760019301573177
,59400.1539251,MULTIFAMILY,1283,2,B1,-95.35834103620468,29.758039171597122
,11056.0395627,,1302,2,X2,-95.35084240252516,29.761788484128928
,36359.097878,MULTIFAMILY,1304,2,B1,-95.35415347820529,29.760126691175316
,43553.2183973,MULTIFAMILY,1329,2,B1,-95.35375725814221,29.76075184328566
