BLDG_ID,SqFtCd,SqFt_est,POS_Landuse,sectorid,POS_StateClass,POS_StateClassCd,center_x,center_y
535,UNDER 5000SF,1796.414179,,0,RESIDENTIAL,A1,-95.362,29.74066
536,UNDER 5000SF,3006.462163,,0,RESIDENTIAL,A1,-95.3627,29.74157
539,UNDER 5000SF,2669.514982,,0,RESIDENTIAL,A1,-95.3638,29.73853
540,UNDER 5000SF,3806.208564,,0,RESIDENTIAL,A1,-95.364,29.73845
548,UNDER 5000SF,1411.0137,,0,RESIDENTIAL,A1,-95.358,29.74134
553,,7596.747785,,0,RESIDENTIAL,A1,-95.3765,29.75595
556,UNDER 5000SF,1903.541466,,0,RESIDENTIAL,A1,-95.3624,29.73977
558,UNDER 5000SF,1750.347544,,0,RESIDENTIAL,A1,-95.3626,29.74145
572,UNDER 5000SF,1012.543569,,0,RESIDENTIAL,A1,-95.3768,29.75695
573,UNDER 5000SF,3456.170681,,0,RESIDENTIAL,A1,-95.3771,29.756
574,UNDER 5000SF,1577.343959,,0,RESIDENTIAL,A1,-95.3779,29.75569
586,UNDER 5000SF,1134.778065,MULTIFAMILY,0,RESIDENTIAL,A1,-95.3622,29.73927
588,UNDER 5000SF,2041.298003,,0,RESIDENTIAL,A1,-95.3684,29.74554
589,UNDER 5000SF,1823.117404,,0,RESIDENTIAL,A1,-95.3699,29.74484
594,UNDER 5000SF,977.6919041,,0,RESIDENTIAL,A1,-95.3762,29.75695
595,UNDER 5000SF,749.0773738,,0,RESIDENTIAL,A1,-95.3782,29.75719
599,UNDER 5000SF,1293.462625,,0,RESIDENTIAL,A1,-95.3578,29.74098
606,UNDER 5000SF,1988.538746,,0,RESIDENTIAL,A1,-95.3622,29.74034
614,UNDER 5000SF,932.3466241,,0,RESIDENTIAL,A1,-95.3671,29.74341
620,UNDER 5000SF,1194.381808,COMMERCIAL,0,RESIDENTIAL,A1,-95.3753,29.76501
621,UNDER 5000SF,3562.075284,,0,RESIDENTIAL,A1,-95.3756,29.75538
622,,5098.218096,,0,RESIDENTIAL,A1,-95.3766,29.75667
623,UNDER 5000SF,951.9547782,,0,RESIDENTIAL,A1,-95.3779,29.7572
624,UNDER 5000SF,2557.009125,,0,RESIDENTIAL,A1,-95.378,29.75341
625,UNDER 5000SF,1083.405038,,0,RESIDENTIAL,A1,-95.3783,29.75655
627,UNDER 5000SF,2190.422333,,0,RESIDENTIAL,A1,-95.3786,29.75598
629,UNDER 5000SF,1687.193862,,0,RESIDENTIAL,A1,-95.3487,29.75659
631,UNDER 5000SF,1249.140164,,0,RESIDENTIAL,A1,-95.3576,29.74105
632,UNDER 5000SF,1172.676552,,0,RESIDENTIAL,A1,-95.3579,29.74082
633,UNDER 5000SF,2167.391431,,0,RESIDENTIAL,A1,-95.3582,29.74545
635,UNDER 5000SF,1048.816864,,0,RESIDENTIAL,A1,-95.3608,29.7421
636,UNDER 5000SF,2348.311687,,0,RESIDENTIAL,A1,-95.3613,29.74016
637,UNDER 5000SF,3298.597767,,0,RESIDENTIAL,A1,-95.3624,29.74134
638,UNDER 5000SF,3552.210973,,0,RESIDENTIAL,A1,-95.3625,29.74201
639,UNDER 5000SF,1921.895542,,0,RESIDENTIAL,A1,-95.3624,29.73966
642,,14067.70218,,0,RESIDENTIAL,A1,-95.3653,29.73853
643,UNDER 5000SF,2285.65479,,0,RESIDENTIAL,A1,-95.3673,29.74198
644,,11739.94768,,0,RESIDENTIAL,A1,-95.3676,29.74363
646,UNDER 5000SF,1123.87547,,0,RESIDENTIAL,A1,-95.3677,29.77034
648,UNDER 5000SF,1949.782174,,0,RESIDENTIAL,A1,-95.3699,29.74508
651,UNDER 5000SF,409.6863439,,0,RESIDENTIAL,A1,-95.3783,29.75529
659,UNDER 5000SF,1059.971191,,0,RESIDENTIAL,A1,-95.3701,29.74609
670,UNDER 5000SF,506.2869364,,0,RESIDENTIAL,A1,-95.3619,29.74223
671,UNDER 5000SF,1804.262428,,0,RESIDENTIAL,A1,-95.3623,29.74068
673,UNDER 5000SF,1779.106398,,0,RESIDENTIAL,A1,-95.3626,29.74035
680,,5083.738838,,0,RESIDENTIAL,A1,-95.3669,29.74266
689,UNDER 5000SF,878.7806839,,0,RESIDENTIAL,A1,-95.3759,29.76496
690,,6595.837602,,0,RESIDENTIAL,A1,-95.3759,29.75614
691,UNDER 5000SF,3924.000578,,0,RESIDENTIAL,A1,-95.3769,29.75795
693,UNDER 5000SF,4778.730922,,0,RESIDENTIAL,A1,-95.3776,29.7553
695,,5453.813545,,0,RESIDENTIAL,A1,-95.3463,29.76027
698,UNDER 5000SF,1041.519771,,0,RESIDENTIAL,A1,-95.3561,29.74462
702,UNDER 5000SF,3226.223259,,0,RESIDENTIAL,A1,-95.3594,29.74519
706,UNDER 5000SF,1732.826982,,0,RESIDENTIAL,A1,-95.3628,29.74007
708,UNDER 5000SF,980.7803123,,0,RESIDENTIAL,A1,-95.3663,29.74176
712,UNDER 5000SF,1827.021667,,0,RESIDENTIAL,A1,-95.3701,29.74595
718,UNDER 5000SF,729.805177,,0,RESIDENTIAL,A1,-95.3783,29.75719
728,UNDER 5000SF,1674.222935,,0,RESIDENTIAL,A1,-95.358,29.74528
729,UNDER 5000SF,901.0898934,,0,RESIDENTIAL,A1,-95.3582,29.74096
732,UNDER 5000SF,1759.718395,,0,RESIDENTIAL,A1,-95.3627,29.74018
734,UNDER 5000SF,2958.632958,,0,RESIDENTIAL,A1,-95.3631,29.74114
737,,5458.250973,,0,RESIDENTIAL,A1,-95.3653,29.74307
738,UNDER 5000SF,1396.534921,,0,RESIDENTIAL,A1,-95.3677,29.77045
740,UNDER 5000SF,1969.285991,,0,RESIDENTIAL,A1,-95.3695,29.74516
748,UNDER 5000SF,1854.14097,,0,RESIDENTIAL,A1,-95.3751,29.76523
750,UNDER 5000SF,2514.203868,,0,RESIDENTIAL,A1,-95.3779,29.75532
754,UNDER 5000SF,1153.282761,,0,RESIDENTIAL,A1,-95.3577,29.7411
758,UNDER 5000SF,791.3361434,,0,RESIDENTIAL,A1,-95.3625,29.73949
759,UNDER 5000SF,907.6652812,,0,RESIDENTIAL,A1,-95.3631,29.74137
762,UNDER 5000SF,1991.797748,,0,RESIDENTIAL,A1,-95.3675,29.74191
763,UNDER 5000SF,1144.353319,,0,RESIDENTIAL,A1,-95.3697,29.74486
767,UNDER 5000SF,824.0992542,,0,RESIDENTIAL,A1,-95.3783,29.75591
772,UNDER 5000SF,1080.577895,COMMERCIAL,0,RESIDENTIAL,A1,-95.3581,29.7456
779,UNDER 5000SF,2099.950612,,0,RESIDENTIAL,A1,-95.3675,29.74168
780,UNDER 5000SF,1235.415189,,0,RESIDENTIAL,A1,-95.3696,29.745
785,UNDER 5000SF,694.8480705,,0,RESIDENTIAL,A1,-95.3758,29.75574
786,UNDER 5000SF,1932.621251,,0,RESIDENTIAL,A1,-95.3757,29.76455
788,UNDER 5000SF,335.1344455,,0,RESIDENTIAL,A1,-95.3764,29.75545
790,UNDER 5000SF,4726.394021,,0,RESIDENTIAL,A1,-95.3776,29.75657
791,UNDER 5000SF,745.220676,,0,RESIDENTIAL,A1,-95.3781,29.75592
792,UNDER 5000SF,1831.387759,,0,RESIDENTIAL,A1,-95.3782,29.7535
797,UNDER 5000SF,1141.162492,,0,RESIDENTIAL,A1,-95.3579,29.7412
798,UNDER 5000SF,1968.047901,COMMERCIAL,0,RESIDENTIAL,A1,-95.3609,29.74052
805,,7345.377281,,0,RESIDENTIAL,A1,-95.3695,29.74418
808,UNDER 5000SF,553.4218749,,0,RESIDENTIAL,A1,-95.3785,29.75546
815,UNDER 5000SF,1034.486472,COMMERCIAL,0,RESIDENTIAL,A1,-95.3565,29.74391
817,UNDER 5000SF,1351.573993,,0,RESIDENTIAL,A1,-95.3575,29.7412
821,UNDER 5000SF,3745.120386,,0,RESIDENTIAL,A1,-95.3616,29.74082
822,UNDER 5000SF,1837.274546,,0,RESIDENTIAL,A1,-95.3619,29.74058
836,UNDER 5000SF,1298.191401,,0,RESIDENTIAL,A1,-95.3576,29.74125
837,UNDER 5000SF,1401.952335,,0,RESIDENTIAL,A1,-95.3578,29.7414
841,UNDER 5000SF,1860.249242,,0,RESIDENTIAL,A1,-95.362,29.74026
842,UNDER 5000SF,1808.998589,,0,RESIDENTIAL,A1,-95.3625,29.74046
844,UNDER 5000SF,888.3911144,,0,RESIDENTIAL,A1,-95.3629,29.74125
852,UNDER 5000SF,1159.244964,,0,RESIDENTIAL,A1,-95.376,29.76497
853,UNDER 5000SF,1417.84803,,0,RESIDENTIAL,A1,-95.3761,29.76455
860,UNDER 5000SF,1316.331607,,0,RESIDENTIAL,A1,-95.3557,29.74424
862,,7349.741916,,0,RESIDENTIAL,A1,-95.3604,29.74126
864,UNDER 5000SF,1869.469095,,0,RESIDENTIAL,A1,-95.3641,29.74102
870,UNDER 5000SF,2143.114798,,0,RESIDENTIAL,A1,-95.367,29.74182
871,,5703.521054,,0,RESIDENTIAL,A1,-95.3668,29.74296
873,UNDER 5000SF,2039.929268,,0,RESIDENTIAL,A1,-95.3678,29.74183
875,UNDER 5000SF,4019.130142,COMMERCIAL,0,RESIDENTIAL,A1,-95.3687,29.74522
883,,7696.547289,,0,RESIDENTIAL,A1,-95.3754,29.75551
884,UNDER 5000SF,775.5938971,,0,RESIDENTIAL,A1,-95.3579,29.7454
889,UNDER 5000SF,1920.726038,,0,RESIDENTIAL,A1,-95.3621,29.74048
891,UNDER 5000SF,1437.868394,,0,RESIDENTIAL,A1,-95.3635,29.73995
892,UNDER 5000SF,2651.057764,,0,RESIDENTIAL,A1,-95.3645,29.74035
894,UNDER 5000SF,4077.136204,,0,RESIDENTIAL,A1,-95.3685,29.74498
900,UNDER 5000SF,2131.342952,,0,RESIDENTIAL,A1,-95.3765,29.75563
901,,5130.610935,,0,RESIDENTIAL,A1,-95.3768,29.75623
903,,5476.928296,,0,RESIDENTIAL,A1,-95.3463,29.7607
911,UNDER 5000SF,490.427576,,0,RESIDENTIAL,A1,-95.3583,29.73997
912,UNDER 5000SF,1344.42032,,0,RESIDENTIAL,A1,-95.3583,29.74102
913,UNDER 5000SF,2201.298083,,0,RESIDENTIAL,A1,-95.3617,29.74128
914,UNDER 5000SF,1294.465979,MULTIFAMILY,0,RESIDENTIAL,A1,-95.3621,29.73921
916,UNDER 5000SF,2071.688359,,0,RESIDENTIAL,A1,-95.3634,29.74091
920,UNDER 5000SF,941.2652524,,0,RESIDENTIAL,A1,-95.3672,29.73999
923,UNDER 5000SF,2154.476084,,0,RESIDENTIAL,A1,-95.3698,29.74492
929,UNDER 5000SF,4547.634272,,0,RESIDENTIAL,A1,-95.3772,29.75658
930,UNDER 5000SF,2954.521561,,0,RESIDENTIAL,A1,-95.3774,29.75562
937,UNDER 5000SF,1174.524261,COMMERCIAL,0,RESIDENTIAL,A1,-95.3607,29.74074
943,UNDER 5000SF,1067.25328,,0,RESIDENTIAL,A1,-95.3696,29.74504
947,UNDER 5000SF,1186.020973,,0,RESIDENTIAL,A1,-95.3759,29.76456
949,UNDER 5000SF,789.0644008,,0,RESIDENTIAL,A1,-95.3784,29.75718
956,UNDER 5000SF,817.4288988,COMMERCIAL,0,RESIDENTIAL,A1,-95.3578,29.7458
958,UNDER 5000SF,2694.07459,,0,RESIDENTIAL,A1,-95.3616,29.7395
961,UNDER 5000SF,923.1323082,,0,RESIDENTIAL,A1,-95.363,29.74129
